Genero,Edad,estrato,price_plan,nombre_zone,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
H,25,2,74999.0,O,Errores en la Solicitud,4,4,0,18-29,Internet-voz,100
H,46,2,62250.0,N,No Aplica,5,28,1,40-49,Internet,200
M,25,4,70549.0,S,Doble Solicitud,2,16,0,18-29,Internet-voz,200
M,62,4,76415.0,N,Tiempos y Procesos,12,3,0,60-69,Internet-voz,250
H,34,2,70549.0,N,No Aplica,6,4,1,30-39,Internet-voz,200
H,31,3,63749.0,N,Otro,1,10,0,30-39,Internet-voz,100
H,59,1,61965.0,O,No Aplica,8,7,1,50-59,Internet-voz,250
H,49,3,79049.0,S,Financiero,4,19,0,40-49,Internet-voz,300
M,31,3,63749.0,N,No Aplica,4,4,1,30-39,Internet-voz,100
M,56,1,63749.0,O,No Aplica,2,25,1,50-59,Internet-voz,100
H,38,3,69749.0,C,Otro,10,2,0,30-39,Internet,300
H,36,3,68850.0,C,No Aplica,10,11,1,30-39,Internet-voz,350
H,56,2,61965.0,C,No Aplica,11,13,1,50-59,Internet-voz,250
M,30,2,63749.0,O,No Aplica,5,22,1,30-39,Internet-voz,100
H,40,1,63749.0,O,No Aplica,2,21,1,40-49,Internet-voz,100
H,61,1,70549.0,S,No Aplica,3,11,1,60-69,Internet-voz,200
H,50,1,61965.0,O,Errores en la Solicitud,8,20,0,50-59,Internet-voz,250
H,61,3,68850.0,S,No Aplica,9,19,1,60-69,Internet-voz,350
H,48,2,63749.0,O,No Aplica,3,5,1,40-49,Internet-voz,100
M,22,3,74399.0,S,No Aplica,6,17,1,18-29,Internet-voz,300
H,22,2,68850.0,N,No Aplica,7,24,1,18-29,Internet-voz,350
M,55,4,82999.0,S,No Aplica,4,4,1,50-59,Internet-voz,200
H,49,1,69749.0,O,No Aplica,6,18,1,40-49,Internet,300
H,56,1,63749.0,O,Financiero,4,16,0,50-59,Internet-voz,100
M,23,1,68850.0,S,No Aplica,9,9,1,18-29,Internet-voz,350
M,30,2,68850.0,C,No Aplica,7,10,1,30-39,Internet-voz,350
M,28,3,61965.0,N,Doble Solicitud,8,31,0,18-29,Internet-voz,250
M,48,1,63749.0,O,Otro,1,30,0,40-49,Internet-voz,100
H,24,3,62250.0,S,No Aplica,6,24,1,18-29,Internet,200
M,60,5,74999.0,N,No Aplica,4,2,1,60-69,Internet-voz,100
H,54,1,61965.0,O,No Aplica,7,6,1,50-59,Internet-voz,250
H,66,2,79049.0,C,No Aplica,3,12,1,60-69,Internet-voz,300
H,42,3,62800.0,C,No Aplica,12,18,1,40-49,Internet,350
M,36,4,63749.0,S,No Aplica,2,15,1,30-39,Internet-voz,100
H,37,3,55120.0,O,No Aplica,1,15,1,30-39,Internet,250
H,22,3,74399.0,S,Falta de Interés,10,20,0,18-29,Internet-voz,300
H,50,3,56249.0,O,Financiero,8,10,0,50-59,Internet,100
M,57,3,69999.0,C,No Aplica,4,16,1,50-59,Internet-voz,80
M,64,3,68850.0,N,No Aplica,10,7,1,60-69,Internet-voz,350
H,65,3,79049.0,S,No Aplica,3,26,1,60-69,Internet-voz,300
M,44,1,70549.0,O,No Aplica,5,7,1,40-49,Internet-voz,200
M,61,1,61965.0,O,No Aplica,8,13,1,60-69,Internet-voz,250
M,59,3,63749.0,O,Otro,1,13,0,50-59,Internet-voz,100
M,50,4,79049.0,S,Errores en la Solicitud,4,11,0,50-59,Internet-voz,300
H,43,5,76415.0,S,No Aplica,9,21,1,40-49,Internet-voz,250
M,32,2,68850.0,C,No Aplica,11,6,1,30-39,Internet-voz,350
H,46,3,79049.0,O,No Aplica,6,20,1,40-49,Internet-voz,300
H,51,2,62800.0,C,Falta de Interés,8,8,0,50-59,Internet,350
M,35,5,69749.0,S,Financiero,2,23,0,30-39,Internet,300
H,49,5,79049.0,N,No Aplica,3,22,1,40-49,Internet-voz,300
H,49,1,61965.0,O,No Aplica,10,8,1,40-49,Internet-voz,250
H,33,6,79049.0,O,No Aplica,1,12,1,30-39,Internet-voz,300
M,22,2,63749.0,O,No Aplica,3,12,1,18-29,Internet-voz,100
H,42,2,61965.0,N,Doble Solicitud,8,15,0,40-49,Internet-voz,250
M,34,2,66399.0,C,Otro,10,19,0,30-39,Internet-voz,200
H,60,6,76415.0,S,No Aplica,11,12,1,60-69,Internet-voz,250
H,60,2,70549.0,S,No Aplica,2,9,1,60-69,Internet-voz,200
M,62,4,77520.0,S,No Aplica,12,9,1,60-69,Internet,350
M,27,2,68850.0,S,No Aplica,10,12,1,18-29,Internet-voz,350
H,48,3,59999.0,C,Otro,9,13,0,40-49,Internet-voz,100
M,23,6,77520.0,C,No Aplica,10,7,1,18-29,Internet,350
H,27,3,55120.0,N,No Aplica,7,31,1,18-29,Internet,250
H,42,3,79049.0,N,No Aplica,6,12,1,40-49,Internet-voz,300
H,52,1,79049.0,O,Doble Solicitud,2,22,0,50-59,Internet-voz,300
M,58,3,61965.0,O,Tiempos y Procesos,10,10,0,50-59,Internet-voz,250
H,32,2,68850.0,O,No Aplica,10,3,1,30-39,Internet-voz,350
M,19,3,63749.0,N,No Aplica,6,8,1,18-29,Internet-voz,100
H,55,2,68850.0,C,No Aplica,10,28,1,50-59,Internet-voz,350
H,49,3,79049.0,O,No Aplica,3,16,1,40-49,Internet-voz,300
H,50,2,63749.0,O,Financiero,6,7,0,50-59,Internet-voz,100
H,65,6,79920.0,C,No Aplica,8,8,1,60-69,Internet-voz,350
H,38,1,61965.0,O,No Aplica,10,19,1,30-39,Internet-voz,250
H,33,1,62250.0,O,No Aplica,11,15,1,30-39,Internet,200
H,51,2,66399.0,O,No Aplica,9,8,1,50-59,Internet-voz,200
H,58,2,68850.0,S,No Aplica,9,11,1,50-59,Internet-voz,350
H,34,6,79049.0,C,No Aplica,2,13,1,30-39,Internet-voz,300
H,40,3,79049.0,N,Tiempos y Procesos,6,20,0,40-49,Internet-voz,300
H,22,1,63749.0,O,Doble Solicitud,2,13,0,18-29,Internet-voz,100
H,34,2,61965.0,S,No Aplica,11,22,1,30-39,Internet-voz,250
M,43,3,70549.0,S,Financiero,5,4,0,40-49,Internet-voz,200
H,31,4,62250.0,S,Financiero,3,27,0,30-39,Internet,200
M,64,5,63749.0,S,No Aplica,4,17,1,60-69,Internet-voz,100
H,46,6,82999.0,C,No Aplica,4,2,1,40-49,Internet-voz,200
M,66,2,61965.0,N,No Aplica,12,20,1,60-69,Internet-voz,250
M,48,3,61965.0,O,No Aplica,7,3,1,40-49,Internet-voz,250
M,48,3,63749.0,C,No Aplica,4,22,1,40-49,Internet-voz,100
H,41,3,66399.0,N,Errores en la Solicitud,5,31,0,40-49,Internet-voz,200
M,52,3,70549.0,O,Tiempos y Procesos,1,27,0,50-59,Internet-voz,200
H,24,5,56249.0,S,Errores en la Solicitud,6,28,0,18-29,Internet,100
H,32,4,63749.0,N,No Aplica,4,4,1,30-39,Internet-voz,100
H,34,3,59999.0,C,Errores en la Solicitud,5,20,0,30-39,Internet-voz,100
H,45,2,61965.0,N,No Aplica,11,8,1,40-49,Internet-voz,250
H,42,1,61965.0,O,No Aplica,8,16,1,40-49,Internet-voz,250
H,63,3,68850.0,C,No Aplica,10,22,1,60-69,Internet-voz,350
M,58,2,63749.0,O,Financiero,3,7,0,50-59,Internet-voz,100
H,55,1,70549.0,O,No Aplica,5,21,1,50-59,Internet-voz,200
H,31,2,61965.0,N,No Aplica,12,3,1,30-39,Internet-voz,250
M,57,3,64800.0,S,No Aplica,12,6,1,50-59,Internet-voz,350
M,40,1,63749.0,O,No Aplica,6,20,1,40-49,Internet-voz,100
H,18,2,63749.0,N,No Aplica,5,16,1,18-29,Internet-voz,100
H,35,3,70549.0,N,Falta de Interés,1,18,0,30-39,Internet-voz,200
H,23,1,79049.0,O,No Aplica,6,25,1,18-29,Internet-voz,300
H,66,6,70549.0,N,Tiempos y Procesos,3,26,0,60-69,Internet-voz,200
M,35,2,68850.0,S,No Aplica,12,10,1,30-39,Internet-voz,350
H,44,6,70549.0,C,No Aplica,2,27,1,40-49,Internet-voz,200
H,64,2,58565.0,S,No Aplica,7,15,1,60-69,Internet,250
H,66,4,79049.0,C,No Aplica,5,20,1,60-69,Internet-voz,300
H,24,2,63749.0,O,No Aplica,3,5,1,18-29,Internet-voz,100
H,30,4,66399.0,S,Otro,11,11,0,30-39,Internet-voz,200
M,31,3,63749.0,C,Errores en la Solicitud,6,30,0,30-39,Internet-voz,100
M,48,2,61965.0,S,No Aplica,7,6,1,40-49,Internet-voz,250
M,51,1,61965.0,O,No Aplica,10,11,1,50-59,Internet-voz,250
H,18,3,70549.0,N,No Aplica,6,26,1,18-29,Internet-voz,200
H,43,1,74399.0,O,No Aplica,10,27,1,40-49,Internet-voz,300
H,50,3,68850.0,O,No Aplica,12,20,1,50-59,Internet-voz,350
M,50,3,72900.0,N,No Aplica,7,3,1,50-59,Internet-voz,250
H,47,6,69749.0,S,Errores en la Solicitud,10,11,0,40-49,Internet,300
H,45,5,79049.0,C,Otro,2,13,0,40-49,Internet-voz,300
H,60,2,68850.0,O,No Aplica,8,30,1,60-69,Internet-voz,350
M,35,2,63749.0,O,No Aplica,6,14,1,30-39,Internet-voz,100
M,21,2,68850.0,N,No Aplica,10,11,1,18-29,Internet-voz,350
M,54,5,79049.0,O,Otro,1,24,0,50-59,Internet-voz,300
H,52,2,62250.0,C,Falta de Interés,12,5,0,50-59,Internet,200
H,22,3,69749.0,S,Otro,11,1,0,18-29,Internet,300
H,58,3,69999.0,O,Otro,8,3,0,50-59,Internet-voz,80
H,52,6,79049.0,C,Financiero,4,24,0,50-59,Internet-voz,300
H,42,5,79049.0,N,No Aplica,4,15,1,40-49,Internet-voz,300
M,41,6,79049.0,S,No Aplica,4,8,1,40-49,Internet-voz,300
M,26,4,77520.0,S,No Aplica,2,3,1,18-29,Internet,350
M,25,3,63749.0,N,No Aplica,4,16,1,18-29,Internet-voz,100
H,18,4,76415.0,S,No Aplica,9,24,1,18-29,Internet-voz,250
H,37,1,70549.0,O,Doble Solicitud,5,25,0,30-39,Internet-voz,200
H,29,1,63749.0,O,Financiero,4,26,0,18-29,Internet-voz,100
M,38,2,63749.0,O,No Aplica,2,28,1,30-39,Internet-voz,100
M,59,1,63749.0,O,No Aplica,4,17,1,50-59,Internet-voz,100
H,45,2,61965.0,O,Doble Solicitud,10,22,0,40-49,Internet-voz,250
M,37,1,56249.0,O,No Aplica,4,4,1,30-39,Internet,100
